"","Prevalence.Estimate.Name","Serotracker_record_used_for_sampling_method","Serotracker_sampling_method","Dataset_Serotracker","Dataset_Chen","Dataset_both","Excluded_data","Excluded_screening","Excluded","exclusion_reason","Notes_exclusion","Author","url1","Population","source_population","date_start","date_end","Overall.Risk.of.Bias..JBI.","Country.or.Area","Geo","Specific.Geography","Location","Country","Region","IR_lower","IR_upper","deaths14_lower","deaths14_upper","death_data_quality","source_deathsdata","aged_65_older","source_aged65data","GDPppp","source_GDPdata","oecd_region","OECD_GDP","OECD_GDP_source"
"1","{andorra}","200611_Andorra_GovernmentOfAndorra_phase2_overall","Entire sample",1,0,0,0,0,0,"","","Gov. of Andorra","https://www.govern.ad/comunicats/item/11629-els-tests-d-anticossos-permeten-diagnosticar-78-positius-de-la-covid-19-que-podrien-haver-contagiat-unes-360-persones",77543,"The population number is as stated in the \citet{royo2021mass} which is the published article reporting on the study.","2020-05-04","2020-05-28","Low","Andorra","Europe","Andorra","Andorra","Andorra","Andorra",10.5,11.5,51,51,1,"For \citet{andorra}, we obtained mortality numbers from the Government of Andorra (\url{https://www.govern.ad/coronavirus}; accessed on June 28, 2021) as tabulated by Wikipedia (\url{https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Andorra}; accessed on June 28, 2021).",17,"Data for the proportion aged over 65 is from \url{https://www.indexmundi.com/andorra/demographics_profile.html} (accessed on June 28, 2021)",49900,"GDP data is from The World Factbook (\url{https://statisticstimes.com/economy/countries-by-gdp-capita-ppp.php}; accessed on June 28, 2021)).",0,49900,0
"2","{petersen2020seroprevalence}","200727_ FaroeIslands_TheFaroeseHospitalSystem_GenPop_TestAdj","Simplified probability",1,1,1,0,0,0,"","","Petersen et al.","http://dx.doi.org/10.3201/eid2611.202736",52154,"Population value is from \citet{petersen2020seroprevalence} (``In the Faroe Islands, a geographic isolate of 52,154 inhabitants.'').","2020-04-27","2020-05-01","Low","Faroe Islands","Europe","Faroe Islands; Faroe Islands","Faroe Islands, Denmark","Denmark","Denmark",0.1,1.2,1,1,1,"For \citet{petersen2020seroprevalence}, information on deaths for the Faroe Islands was obtained from \url{corona.fo/hagtol}, the government information website concerning COVID19 in the Faroe Islands.",17,"Data for the proportion aged over 65 is from Index mundi (see \url{https://tinyurl.com/bb2pwrx6}; accessed on April 29, 2021) which cites the CIA World Factbook as a source.",60421,"GDP value is from value listed for Denmark from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)). ",1,60421,1
"3","{warszawski}","210115_France_InstitutNationaldelaStatistiqueetdesÉtudesÉconomiques_Overall","Stratified probability",1,0,0,0,0,0,"","","Warszawski et al.","https://drees.solidarites-sante.gouv.fr/sites/default/files/2021-01/er1167-en.pdf",64286954,"Population data is from INSEE in report titled ``Population totale par sexe et âge au 1er janvier 2020, France métropolitaine'' (see \url{https://www.insee.fr/fr/statistiques/1892088?sommaire=1912926}; accessed August 4, 2021).  We subtract 611,000 to account for those living in long term-care facilities (EHPAD) (see \url{https://www.lemonde.fr/societe/article/2020/12/02/le-besoin-de-places-en-ehpad-va-devenir-massif-d-ici-a-2030_6061915_3224.html}; accessed August 4, 2021) since the serostudy (and the mortality data) specificaly apply to ``Individuals aged 15 years or above, residing in metropolitan France, excluding EHPADs, retirement homes and prisons.''","2020-05-02","2020-06-02","Low","France","Europe","France","Metropolitan France","France","France",3.9,5,17342,19011,1,"We obtained mortality data from the French government COVID-19 dashboard (see \url{https://dashboard.covid19.data.gouv.fr/vue-d-ensemble?location=FRA}; accessed on August 4, 2021), summing up the cumulative deaths for the 13 regions of Metropolitain France (i.e., European France). (235+394+1616+407+471+6710+3256+959+371+1562+469+836+56 and 257+427+1804+461+528+7358+3518+1032+411+1721+508+927+59).  Note that this death total does not include deaths that occurred in long term care facilities (``EHPAD et EMS'').",21,"Data for the proportion aged over 65 is for France from 2019 as listed by World Bank's World Development Indicators (WDI) data (\url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS?locations=FR}; accessed August 4, 2021).",49551,"GDP value is from value listed for France from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26))",1,49551,1
"5","{santos2020serology}","201126_Kupferzell_RobertKochInstitute_OverallAdj","Simplified probability",1,1,1,0,0,0,"","","Santos-Hovener et al.","https://dx.doi.org/10.2807/1560-7917.ES.2020.25.47.2001752",6247,"Population value is from Wikipedia (\url{https://als.wikipedia.org/wiki/Kupferzell}; accessed July 30, 2021) which cites the Statistisches Landesamt Baden-Württemberg – Bevölkerung nach Nationalität und Geschlecht am 31. Dezember 2019 (CSV-Datei).","2020-05-20","2020-06-09","Low","Germany","Europe","Germany; Baden-W√ºrttemberg; Kupferzell","Kupferzell, Germany","Germany","Baden-Württemberg ",10.4,14,3,3,1,"For \citet{santos2020serology}, data for the number of deaths for Kupferzell, Germany was obtained directly from \citet{santos2020serology} (citing the Robert Koch Institute) which suggested that (in Figure 1) no more than 3 deaths occured in the town for the period before July, 2020.  Despite efforts, no publicly available dataset was found which could confirm these numbers specific these numbers.",16,"Data for the proportion aged over 65 is from: \url{https://ugeo.urbistat.com/AdminStat/en/de/demografia/eta/kupferzell/20172564/4} (accessed on April 29, 2021). ",63885,"GDP value is from value listed for Germany from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,63885,1
"6","{streeck2020infection}","201117_Gangelt_UniversityofBonn_ v3_overall_TestAdj_IgG","Simplified probability",1,1,1,0,0,0,"","","Streeck et al.","https://www.nature.com/articles/s41467-020-19509-y",12597,"Streeck et al.: ""In the German community of Gangelt (12,597 inhabitants, January 1, 2020)""","2020-03-31","2020-04-06","Low, Low","Germany","Europe","Germany; Heinsberg; Gangelt","Gangelt, Germany","Germany","North Rhine-Westphalia",12.31,24.4,8,10,1,"For \citet{streeck2020infection}, the number of deaths for Gangelt, Kreis Heinsberg, Germany, is directly noted in the \citet{streeck2020infection} article.  No publicly available dataset was found, however we did find information on the Gangelt municipal bulletin (see \url{www.gangelt.de/news/226-erster-corona-fall-in-nrw}; accessed on April 28, 2021) and an investigative report (see \url{https://medwatch.de/2020/11/26/die-ungezaehlten-todesfaelle-aus-gangelt/}; accessed on May 20, 2021) which suggests that 8 to 10 as a reasonable range.  Note that the seroprevalence estimates for this study are based on the results of antibody tests as well as the results of PCR tests.   As such the 14 day offset may not be as appropriate for this study as compared to other studies that consider only antibody tests. ",18,"Data for the proportion aged over 65 is from Figure S1 of \citet{streeck2020infection}.",53751,"GDP value is from value listed for Germany from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,53751,1
"7","{radon2020protocol} ","210429_Munich_GermanResearchCenterForEnvironmentalHealth_overall_popadj_testadj","Simplified probability",1,0,0,0,0,0,"","","Radon et al.","https://www.medrxiv.org/content/10.1101/2021.04.27.21256133v1",1563090,"","2020-11-02","2021-01-31","Low","Germany","Europe","Germany","Munich, Germany","Germany","Bavaria",2.9,4.3,292,1040,1,"The number of deaths was obtained from the official database of the city of Munich (https://www.muenchen.de/rathaus/Stadtinfos/Coronavirus-Fallzahlen.html; accessed June 22, 2021).",17,"https://www.muenchen.de/rathaus/dam/jcr:459cce24-3894-4d4d-b144-4185b750a310/LHM.Stat_Faltkarte_2019_englisch.pdf",65345,"GDP value is from value listed for Germany from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,65345,1
"8","{murhekar2020prevalence}","200917_India_MinistryofHealth&FamilyWelfare_OverallPopTestAdj","Stratified probability",1,1,1,0,0,0,"","","Murhekar et al. (1)","http://dx.doi.org/10.4103/ijmr.IJMR_3290_20",1366417750,"https://data.worldbank.org/indicator/SP.POP.TOTL?locations=IN","2020-05-11","2020-06-04","Low","India","South Asia","India","India","India","India",0.34,1.13,4172,45766,0,"For \citet{murhekar2020prevalence}, we obtained the number of cumulative deaths for India, from the Our World in Data COVID-19 dataset available at: \url{ourworldindata.org/coronavirus/country/india}  (accessed on April 28, 2021).   We multiplied the number recorded for 14 days after the end of the sampling window of 12,573 by a factor of 3.64 (based on the upper bound of \citet{purkayastha2021estimating}'s estimated underreporting factor for India (first wave))  in order to account for potential underreporting.  As such, our interval is relatively wide and reflects the uncertainty in the true number of deaths: [4,172, 45766].  (\citet{purkayastha2021estimating}: ""Estimates from epidemiological models: For wave 1 our estimate ... an underreporting factor for cases estimated at 11.11 (95% CrI 10.71 – 11.47) and for deaths at 3.56 (95% CrI 3.48 – 3.64)."")",6," Data for the proportion aged over 65 is from World Bank's World Development Indicators (WDI) data (see \url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS}  (last updated 2021-03-19)).",4735,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)). ",1,4735,1
"9","{sharma2020seroprevalence}","201214_Delhi_MaulanaAzadMedicalCollege_Oct_PopTestAdj","Stratified probability",1,1,1,0,0,0,"","","Sharma et al.","https://www.medrxiv.org/content/10.1101/2020.12.13.20248123v1",19800000,"we use 18.9 million as the estimated population of Delhi, the number cited by both Sharma et al. (2020) and Bhattacharyya et al. (2021), while Chen et al. (2021) use a much different number: 30,290,936 (see Table S14 in Supplementary appendix 2 of Chen et al. (2021)).","2020-08-01","2020-08-07","Low","India","South Asia","India; NCT Delhi","Delhi, India","India","National Capital Territory of Delhi",27.65,29.14,4188,26901,0,"Data for the number of deaths for Delhi was obtained from Wikipedia (\url{en.wikipedia.org/wiki/COVID-19_pandemic_in_Delhi}; accessed on April 28, 2021) which sourced the information from the Delhi State Health Bulletin (\url{https://delhifightscorona.in/}).  We multiplied the number recorded for 14 days after the end of the sampling window of 4,270 by a factor of 6.3 (based on  the upper bound of \citet{mukherjee2021estimating}'s estimated underreporting factor) in order to account for potential underreporting.  As such, our interval is relatively wide and reflects the uncertainty in the true number of deaths: [4,188, 26,901].",4,"Data for the proportion aged over 65 is from Statistics Times for 2011  (\url{http://statisticstimes.com/demographics/india/delhi-population.php}; accessed on April 29, 2021).",12817,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).  Note that we use 18.9 million as the estimated population of Delhi, the number cited by both \citet{sharma2020seroprevalence} and \citet{bhattacharyya2021incorporating}, while \citet{chen2021serological} use a much different number: 30,290,936 (see Table S14 in Supplementary appendix 2 of \citet{chen2021serological}).",1,12817,1
"10","{kar2021prevalence}","210114_Puducherry_JawaharlalInstitute_August_primary","Stratified probability",1,0,0,0,0,0,"","","Kar et al.","https://dx.doi.org/10.3201/2702.204480",1250000,"Population for Puducherry District from \citet{kar2021prevalence} who note that: ``Puducherry district, population ≈1.25 million, is located in southern India.''","2020-08-11","2020-08-16","Low","India","South Asia","India; Puducherry","Puducherry District, India","India","Puducherry",3.5,6.4,145,393,0,"For \citet{kar2021prevalence}, data for the number of deaths for Puducherry District was obtained from \url{https://covid19dashboard.py.gov.in/Reporting/District} (accessed on August 5, 2021).   We multiplied the number recorded for 14 days after the end of the sampling window by a factor of 2.1 (based on the upper bound of \citet{mukherjee2021estimating}'s estimated underreporting factor for Puducherry) in order to account for potential underreporting. ",6,"Data for the proportion aged over 65 is from \url{http://statisticstimes.com/demographics/india/puducherry-population.php} (accessed on June 22, 2021).",9152,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,9152,1
"11","{malani2021seroprevalence} ","210208_TamilNadu_GovernmentofTamilNadu_Overall","Stratified probability",1,0,0,0,0,0,"","","Malani et al.","https://www.medrxiv.org/content/10.1101/2021.02.03.21250949v1",83697770,"https://www.indiacensus.net/states/tamil-nadu","2020-10-19","2020-11-30","Low","India","South Asia","India; Tamil Nadu","Tamil Nadu, India","India","Tamil Nadu",30.4,32.8,11183,29773,0,"Mortality data for the number of deaths for Tamil Nadu obtained from the Tamil Nadu Government (see https://stopcorona.tn.gov.in/archive/; accessed June 24, 2021). We multiplied the number recorded for 14 days after the end of the sampling window of 11909 by a factor of 2.5 (based on the upper bound of \citet{mukherjee2021estimating}'s estimated underreporting factor for Tamil Nadu).",7,"https://statisticstimes.com/demographics/india/tamil-nadu-population.php",7191,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).  ",1,7191,1
